Player ID:,1185511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Xavier Beckstead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sun Feb 15 2026 11:08:41 AM,1771171135,Fastball,N,24.2,49.47,83.2,1918.53,1816.9,94.7,12:44,0.5,18,8.5,-,-,-,-,-1.38,0.25,6.2,-0.06,18.74,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
2,Sun Feb 15 2026 11:05:44 AM,1771171112,Fastball,N,-1.69,50.03,82.03,1749.02,1631.7,93.29,12:06,1,16.4,4.2,-,-,-,-,0.38,0.5,6.04,-0.12,21.1,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
3,Sun Feb 15 2026 12:51:23 PM,1771171087,Fastball,N,4.73,-3.72,83.23,1941.98,1811.1,93.26,12:26,1,16.2,9.7,-,-,-,-,0.76,-3.99,5.97,0.32,21.16,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
4,Sun Feb 15 2026 11:02:26 AM,1771171069,Fastball,N,17.95,12.55,82.25,1844.56,1744.8,94.59,12:34,1,16.5,6.5,-,-,-,-,-1.06,-2.77,6.01,-0.07,18.93,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
5,Sun Feb 15 2026 9:48:16 AM,1771171021,ChangeUp,N,14.75,30.29,75.2,1352.37,1266.6,93.66,1:22,1,15.7,11.7,-,-,-,-,0.17,0.07,5.78,0.43,20.51,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
6,Sun Feb 15 2026 1:58:12 PM,1771171002,CurveBall,N,-6.6,12.38,71.93,1973.11,1110.7,56.29,7:56,1,-7.4,-5.9,-,-,-,-,0.21,0.67,5.84,0.15,55.74,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
7,Sun Feb 15 2026 10:22:43 AM,1771170984,Fastball,N,-5.53,10.28,82.58,1921.52,1805.1,93.94,12:38,1,18.8,9.5,-,-,-,-,1.53,-2.86,5.94,0.26,20.05,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
8,Sun Feb 15 2026 11:41:37 AM,1771170958,Slider,Y,2.26,32.22,73.06,2095.55,1910.6,91.18,11:16,0.5,-2.9,-6.9,-,-,-,-,-0.47,2.12,5.75,0.3,24.25,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
9,Sun Feb 15 2026 11:49:27 AM,1771170933,Slider,N,14.82,10.54,72.8,2300.74,1189.1,51.69,9:44,0.5,6.7,-6.4,-,-,-,-,-1.25,-0.66,5.77,0.54,58.88,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
10,Sun Feb 15 2026 9:51:08 AM,1771170913,Fastball,N,24.83,32.64,80.93,1736.02,1628.8,93.83,12:04,1,13.7,3.6,-,-,-,-,-1.8,-0.62,6.05,0.02,20.24,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
11,Sun Feb 15 2026 10:25:17 AM,1771170889,ChangeUp,N,17.74,-2.1,74.22,1191.42,1056.3,88.66,1:18,1,5.8,14.2,-,-,-,-,0.03,-1.74,5.83,0.33,27.55,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
12,Sun Feb 15 2026 11:51:29 AM,1771170870,ChangeUp,N,17.15,43.47,72.99,1209.23,1085,89.73,1:14,1,11.1,13.8,-,-,-,-,-0.08,1.86,5.78,0.2,26.2,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
13,Sun Feb 15 2026 2:12:44 PM,1771170849,ChangeUp,N,5.09,11,76.21,1183.5,1157.5,97.81,1:18,1,12.4,13,-,-,-,-,0.87,-1.65,6.05,0.21,12.02,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
14,Sun Feb 15 2026 9:40:54 AM,1771170828,ChangeUp,Y,7.99,38.07,75.98,1417.6,1387.1,97.85,1:16,1,10.3,16.5,-,-,-,-,1.2,1.15,5.7,0.48,11.91,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
15,Sun Feb 15 2026 1:25:46 PM,1771170808,Fastball,N,6.57,6.57,81.21,1744.86,1652.3,94.7,12:28,1,17,6.5,-,-,-,-,0.07,-3.11,6.07,0.07,18.74,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
16,Sun Feb 15 2026 1:02:05 PM,1771170782,Slider,N,-5.43,12.86,71.03,2412.24,1682.9,69.77,7:36,1,-5.1,-14.1,-,-,-,-,-0.55,0.75,5.91,0.18,45.76,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
17,Sun Feb 15 2026 9:02:04 AM,1771170763,Slider,N,1.61,7.26,70.74,2128.48,1139.3,53.53,7:20,1,-2.5,-11.7,-,-,-,-,-0.97,0.13,5.86,0.15,57.64,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
18,Sun Feb 15 2026 11:35:13 AM,1771170746,Fastball,N,0.47,3.27,81.69,1852.62,1779.2,96.04,12:14,0.5,19.4,7.6,-,-,-,-,0.85,-3.41,5.91,0.25,16.19,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
19,Sun Feb 15 2026 2:26:14 PM,1771170730,Slider,Y,0.77,24.22,72.12,2057.73,1119.6,54.41,8:04,1,-5.7,-6.6,-,-,-,-,-0.1,1.83,5.67,0.52,57.04,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
20,Sun Feb 15 2026 9:18:20 AM,1771170716,Slider,N,2.82,57.74,73.05,2092.97,1119.2,53.48,9:58,1,-,-,-,-,-,-,-0.44,3.42,5.72,0.65,57.67,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
21,Sun Feb 15 2026 10:00:20 AM,1771170701,Slider,N,-24.77,13.83,76.08,1906.8,605.3,31.75,8:30,1,2.4,-4.4,-,-,-,-,1.95,-0.28,5.83,0.23,71.49,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
22,Sun Feb 15 2026 11:07:04 AM,1771170679,Fastball,N,14.35,22.98,81.26,1999.86,1901.3,95.07,12:44,1,17.7,9.3,-,-,-,-,-0.2,-1.86,6.12,0.22,18.06,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
23,Sun Feb 15 2026 2:47:51 PM,1771170662,Fastball,N,-12.93,55.17,80.46,1778.04,1645.3,92.54,12:08,0.5,14.4,8.5,-,-,-,-,2.04,1.52,5.89,0.23,22.28,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
24,Sun Feb 15 2026 9:18:46 AM,1771170647,Fastball,Y,3.91,24.09,81.05,1915.05,1809.1,94.47,12:36,1,18.7,9,-,-,-,-,0.35,-1.86,6.12,-0.08,19.14,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
25,Sun Feb 15 2026 12:24:42 PM,1771170632,Fastball,Y,6.55,31.48,80.04,1875.11,1780.7,94.97,12:42,1,19.2,10.9,-,-,-,-,0.51,-0.98,6.03,0.15,18.26,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
26,Sun Feb 15 2026 12:39:54 PM,1771170618,Fastball,N,12.33,25.05,79.39,1936.86,1856.4,95.85,12:38,1,20.4,9,-,-,-,-,-0.08,-1.55,6.01,0.2,16.57,-,MTD-22117O95312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,XavierBeckstead,high_intent,-
